project;commit;benchmark;params;instance;trial;fork;iteration;mode;unit;value_count;value
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/avp_test.go/BenchmarkEncodeAVP;;0;81;0;0;;;1;140.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/avp_test.go/BenchmarkEncodeAVP;;0;82;0;0;;;1;140.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/avp_test.go/BenchmarkEncodeAVP;;0;83;0;0;;;1;141.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;0;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;1;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;2;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;3;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;4;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;5;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;6;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;7;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;8;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;9;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;10;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;11;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;12;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;13;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;14;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;15;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;16;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;17;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;18;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;19;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;20;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;21;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;22;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;23;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;24;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;25;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;26;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;27;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;28;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;29;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;30;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;31;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;32;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;33;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;34;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;35;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;36;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;37;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;38;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;39;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;40;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;41;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;42;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;43;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;44;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;45;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;46;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;47;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;48;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;49;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;50;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;51;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;52;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;53;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;54;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;55;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;56;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;57;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;58;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;59;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;60;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;61;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;62;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;63;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;64;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;65;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;66;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;67;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;68;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;69;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;70;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;71;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;72;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;73;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;74;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;75;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;76;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;77;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;78;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;79;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;80;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;81;0;0;;;1;52.7
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;82;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv4;;0;83;0;0;;;1;52.8
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;0;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;1;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;2;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;3;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;4;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;5;0;0;;;1;57.9
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;6;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;7;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;8;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;9;0;0;;;1;57.9
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;10;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;11;0;0;;;1;58.2
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;12;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;13;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;14;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;15;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;16;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;17;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;18;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;19;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;20;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;21;0;0;;;1;58.2
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;22;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;23;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;24;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;25;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;26;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;27;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;28;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;29;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;30;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;31;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;32;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;33;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;34;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;35;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;36;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;37;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;38;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;39;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;40;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;41;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;42;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;43;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;44;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;45;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;46;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;47;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;48;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;49;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;50;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;51;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;52;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;53;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;54;0;0;;;1;58.2
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;55;0;0;;;1;58.2
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;56;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;57;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;58;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;59;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;60;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;61;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;62;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;63;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;64;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;65;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;66;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;67;0;0;;;1;58.2
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;68;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;69;0;0;;;1;58.2
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;70;0;0;;;1;58.1
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;71;0;0;;;1;58.0
fiorix/go-diameter;8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23;/diam/datatype/address_test.go/BenchmarkAddressIPv6;;0;72;0;0;;;1;58.1
